layer_name,layer_type,num_params
decoder_component.0.ffn.linear1,Linear,1518080,1948109297920 | 1948109298000
decoder_component.0.ffn.linear2,Linear,1516112,1948109298080 | 1948109298160
decoder_component.0.norm1,RMSNorm,592,1948109298240
decoder_component.0.norm2,RMSNorm,592,1948109298320
decoder_component.0.norm3,RMSNorm,592,1948109298400
decoder_component.1.self_mha,OptimizedFlashMHA,1053168,1948109298480 | 1948109298560
decoder_component.1.self_mha.out_proj,Linear,351056,1948109298640 | 1948109298720
decoder_component.1.cross_mha,OptimizedFlashMHA,1053168,1948109298800 | 1948109298880
decoder_component.1.cross_mha.out_proj,Linear,351056,1948109298960 | 1948109299040
decoder_component.1.ffn.linear1,Linear,1518080,1948109299120 | 1948109299200
decoder_component.1.ffn.linear2,Linear,1516112,1948109299280 | 1948109299360
decoder_component.1.norm1,RMSNorm,592,1948109299440
decoder_component.1.norm2,RMSNorm,592,1948109299520
decoder_component.1.norm3,RMSNorm,592,1948109299600
decoder_component.2.self_mha,OptimizedFlashMHA,1053168,1948109299680 | 1948109299760
decoder_component.2.self_mha.out_proj,Linear,351056,1948109299840 | 1948109299920
decoder_component.2.cross_mha,OptimizedFlashMHA,1053168,1948109300000 | 1948109300080
decoder_component.2.cross_mha.out_proj,Linear,351056,1948109300160 | 1948109300240
decoder_component.2.ffn.linear1,Linear,1518080,1948109300320 | 1948109300400
decoder_component.2.ffn.linear2,Linear,1516112,1948109300480 | 1948109300560
decoder_component.2.norm1,RMSNorm,592,1948109300640
decoder_component.2.norm2,RMSNorm,592,1948109300720
decoder_component.2.norm3,RMSNorm,592,1948109300800
decoder_component.3.self_mha,OptimizedFlashMHA,1053168,1948109300880 | 1948109300960
decoder_component.3.self_mha.out_proj,Linear,351056,1948109301040 | 1948109301120
decoder_component.3.cross_mha,OptimizedFlashMHA,1053168,1948109301200 | 1948109301280
decoder_component.3.cross_mha.out_proj,Linear,351056,1948109301360 | 1948109301440
decoder_component.3.ffn.linear1,Linear,1518080,1948109301520 | 1948109301600
decoder_component.3.ffn.linear2,Linear,1516112,1948109301680 | 1948109301760
decoder_component.3.norm1,RMSNorm,592,1948109301840
decoder_component.3.norm2,RMSNorm,592,1948109301920
decoder_component.3.norm3,RMSNorm,592,1948109302000
decoder_component.4.self_mha,OptimizedFlashMHA,1053168,1948109302080 | 1948109302160
decoder_component.4.self_mha.out_proj,Linear,351056,1948109302240 | 1948109302320
decoder_component.4.cross_mha,OptimizedFlashMHA,1053168,1948109302400 | 1948109302480
decoder_component.4.cross_mha.out_proj,Linear,351056,1948109302560 | 1948109302640
decoder_component.4.ffn.linear1,Linear,1518080,1948109302720 | 1948109302800
decoder_component.4.ffn.linear2,Linear,1516112,1948109302880 | 1948109302960
decoder_component.4.norm1,RMSNorm,592,1948109303040
decoder_component.4.norm2,RMSNorm,592,1948109303120
decoder_component.4.norm3,RMSNorm,592,1948109303200
decoder_component.5.self_mha,OptimizedFlashMHA,1053168,1948109303280 | 1948109303360
decoder_component.5.self_mha.out_proj,Linear,351056,1948109303440 | 1948109303520
decoder_component.5.cross_mha,OptimizedFlashMHA,1053168,1948109303600 | 1948109303680
decoder_component.5.cross_mha.out_proj,Linear,351056,1948109303760 | 1948109303840
decoder_component.5.ffn.linear1,Linear,1518080,1948109303920 | 1948109304000
decoder_component.5.ffn.linear2,Linear,1516112,1948109304080 | 1948109304160
decoder_component.5.norm1,RMSNorm,592,1948109304240
decoder_component.5.norm2,RMSNorm,592,1948109304320
decoder_component.5.norm3,RMSNorm,592,1948109304400
decoder_component.6.self_mha,OptimizedFlashMHA,1053168,1948109304480 | 1948109304560
decoder_component.6.self_mha.out_proj,Linear,351056,1948109304640 | 1948109304720
decoder_component.6.cross_mha,OptimizedFlashMHA,1053168,1948109304800 | 1948109304880
decoder_component.6.cross_mha.out_proj,Linear,351056,1948109304960 | 1948109305040
decoder_component.6.ffn.linear1,Linear,1518080,1948109305120 | 1948109305200
decoder_component.6.ffn.linear2,Linear,1516112,1948109305280 | 1948109305360
decoder_component.6.norm1,RMSNorm,592,1948109305440
decoder_component.6.norm2,RMSNorm,592,1948109305520
decoder_component.6.norm3,RMSNorm,592,1948109305600
decoder_component.7.self_mha,OptimizedFlashMHA,1053168,1948109305680 | 1948109305760
decoder_component.7.self_mha.out_proj,Linear,351056,1948109305840 | 1948109305920
decoder_component.7.cross_mha,OptimizedFlashMHA,1053168,1948109306000 | 1948109306080
decoder_component.7.cross_mha.out_proj,Linear,351056,1948109306160 | 1948109306240
decoder_component.7.ffn.linear1,Linear,1518080,1948109306320 | 1948109306400
decoder_component.7.ffn.linear2,Linear,1516112,1948109306480 | 1948109306560
decoder_component.7.norm1,RMSNorm,592,1948109306640
decoder_component.7.norm2,RMSNorm,592,1948109306720
decoder_component.7.norm3,RMSNorm,592,1948109306800
output_projection,Linear,23720000,1948109093808 | 1948109306960
